Ruolo;Calciatore;Squadra;Quotazione
P;Carnesecchi;Atalanta;13
P;Butez;Como;13
P;Skorupski;Bologna;11
P;De Gea;Fiorentina;11
P;Maignan;Milan;10
P;Di Gregorio;Juventus;10
P;Milinkovic;Napoli;10
P;Sommer;Inter;9
P;Motta;Lazio;8
P;Meret;Napoli;7
P;Svilar;Roma;7
P;Okoye;Udinese;7
P;Perin;Juventus;7
P;Corvi;Parma;6
P;Provedel;Lazio;5
P;Paleari;Torino;5
P;Muric;Sassuolo;5
P;Falcone;Lecce;4
P;Bijlow;Genoa;4
P;Suzuki;Parma;3
P;Montipo;Verona;3
P;Caprile;Cagliari;3
P;Audero;Cremonese;3
P;Ravaglia;Bologna;2
P;Leali;Genoa;1
P;Turati;Sassuolo;1
P;Semper;Pisa;1
P;Christensen;Fiorentina;1
P;Ciocci;Cagliari;1
P;Di Gennaro;Inter;1
P;Fruchtl;Lecce;1
P;Furlanetto;Lazio;1
P;Gollini;Roma;1
P;Martinez J.;Inter;1
P;Padelli;Udinese;1
P;Perilli;Verona;1
P;Pinsoglio;Juventus;1
P;Rinaldi;Parma;1
P;Rossi Fr.;Atalanta;1
P;Russo A.;Sassuolo;1
P;Samooja;Lecce;1
P;Satalino;Sassuolo;1
P;Sava;Udinese;1
P;Scuffet;Pisa;1
P;Siegrist;Genoa;1
P;Sommariva;Genoa;1
P;Sportiello;Atalanta;1
P;Terracciano;Milan;1
P;Torriani;Milan;1
P;Vigorito;Como;1
P;Contini;Napoli;1
P;Nicolas;Pisa;1
P;Nava;Cremonese;1
P;Zelezny;Roma;1
P;Israel;Torino;1
P;Pessina M.;Bologna;1
P;Sgarbi;Como;1
P;Lezzerini;Fiorentina;1
P;Nunziante;Udinese;1
P;Silvestri;Cremonese;1
P;Menke ;Como;1
P;Toniolo;Verona;1
P;Cavlina;Como;1
P;Ferrante;Napoli;1
P;Zacchi;Sassuolo;1
P;Malovec;Cremonese;1
P;Calligaris;Inter;1
P;Castagnini;Verona;1
P;Pittarella;Milan;1
P;Mangiapoco;Juventus;1
P;Taho;Inter;1
P;Happonen;Bologna;1
P;Scaglia S.;Juventus;1
P;Lysionok;Genoa;1
P;Penev;Lecce;1
P;Auseklis;Cagliari;1
P;Sherri;Cagliari;1
P;Tornqvist;Como;1
P;Casentini;Parma;1
P;Siviero;Torino;1
P;Guizzo;Pisa;1
P;Luppichini ;Pisa;1
P;Leonardelli;Fiorentina;1
P;Giacomone;Lazio;1
P;Franceschelli;Bologna;1
P;Pardel;Atalanta;1
D;Dimarco;Inter;36
D;Bremer;Juventus;22
D;Ndicka;Roma;17
D;Kalulu;Juventus;16
D;Pavlovic;Milan;16
D;Mancini;Roma;15
D;Zappacosta;Atalanta;15
D;Ostigard;Genoa;15
D;Delprato;Parma;14
D;Spinazzola;Napoli;14
D;Palestra;Cagliari;14
D;Akanji;Inter;14
D;Dodo;Fiorentina;13
D;Kempf;Como;13
D;Wesley;Roma;13
D;Dumfries;Inter;12
D;Buongiorno;Napoli;12
D;Gosens;Fiorentina;12
D;Bastoni A.;Inter;11
D;Carlos Augusto;Inter;11
D;Solet;Udinese;11
D;Cambiaso;Juventus;11
D;Bisseck;Inter;11
D;De Winter;Milan;11
D;Gallo;Lecce;11
D;Celik;Roma;11
D;Lucumi;Bologna;10
D;Marusic;Lazio;10
D;Vojvoda;Como;10
D;Kabasele;Udinese;10
D;Diego Carlos;Como;10
D;Tavares;Lazio;9
D;Zortea;Bologna;9
D;Beukema;Napoli;9
D;Gila;Lazio;9
D;Martin;Genoa;9
D;Caracciolo;Pisa;9
D;Kelly;Juventus;9
D;Scalvini;Atalanta;9
D;Muharemovic;Sassuolo;9
D;Ramon;Como;9
D;Bernasconi;Atalanta;9
D;Garcia;Sassuolo;9
D;Djimsiti;Atalanta;8
D;Luperto;Cremonese;8
D;Vasquez;Genoa;8
D;Maripan;Torino;8
D;Ranieri;Fiorentina;8
D;Miranda J.;Bologna;8
D;Valeri;Parma;8
D;Kristensen T.;Udinese;8
D;Norton Cuffy;Genoa;8
D;Frese;Verona;8
D;Gutierrez;Napoli;8
D;Acerbi;Inter;7
D;Kolasinac;Atalanta;7
D;Mina;Cagliari;7
D;Pongracic;Fiorentina;7
D;Romagnoli A.;Lazio;7
D;Tomori;Milan;7
D;Vitik;Bologna;7
D;Valle;Como;7
D;Barbieri;Cremonese;7
D;Parisi;Fiorentina;7
D;Bartesaghi;Milan;7
D;Gabriel;Lecce;7
D;Marcandalli;Genoa;7
D;Idzes;Sassuolo;7
D;Troilo;Parma;7
D;Britschgi;Parma;7
D;Bellanova;Atalanta;6
D;Hien;Atalanta;6
D;Olivera;Napoli;6
D;Ismajli;Torino;6
D;Kamara;Udinese;6
D;Coco;Torino;6
D;Van der Brempt;Como;6
D;Canestrelli;Pisa;6
D;Rensch;Roma;6
D;Valenti;Parma;6
D;Moreno A.;Como;6
D;Pedersen;Torino;6
D;Oyegoke;Verona;6
D;Veiga D.;Lecce;6
D;Provstgaard;Lazio;6
D;Joao Mario;Bologna;6
D;Walukiewicz;Sassuolo;6
D;Athekame;Milan;6
D;Nelsson;Verona;6
D;Obrador;Torino;6
D;Di Lorenzo;Napoli;5
D;Rrahmani;Napoli;5
D;Ghilardi;Roma;5
D;Doig;Sassuolo;5
D;Obert;Cagliari;5
D;Calabresi;Pisa;5
D;Hermoso;Roma;5
D;Bradaric;Verona;5
D;Siebert;Lecce;5
D;Ze Pedro;Cagliari;5
D;Edmundsson;Verona;5
D;Angelino;Roma;4
D;Comuzzo;Fiorentina;4
D;Zappa;Cagliari;4
D;Patric;Lazio;4
